word	emotion	arousel
Toast	0.6	2.368421053
Laube	1.3	1.75
ergänzen	0.764705882	2.2
kichern	0.7	2.962962963
Portwein	1.1	2.166666667
scheiden	-2.0	3.222222222
Eidechse	0.32	2.82
Verlust	-2.2	3.476190476
betteln	-1.5	3.111111111
Frisur	0.75	2.714285714
Abbau	-1.0	3.0
Lehrerin	-0.2	2.666666667
steigen	0.882352941	2.0
bequ	1.7	1.944444444
dackel	0.27	2.77
Zopf	0.77	2.18
derb	-1.1	2.631578947
Lorbeer	1.4	2.111111111
Nikotin	-0.7	3.238095238
Wahnsinn	-1.7	4.111111111
Hose	0.77	2.0
Schlacht	-2.2	3.888888889
Sprache	1.735294118	2.611111111
Lunge	0.3	2.777777778
Uhr	0.088235294	1.789473684
Klient	-0.2	2.789473684
Wind	1.264705882	2.333333333
Vorspiel	1.9	4.117647059
Platz	0.382352941	2.117647059
vergessen	-0.970588235	2.904761905
Grenze	-0.2	3.0
Fessel	-1.3	4.05
Farbe	1.6	2.210526316
Ruine	-0.3	2.55
Taifun	-1.25	3.888888889
Christus	-0.117647059	2.611111111
Bandit	-0.95	2.578947368
vertraut	1.9	1.611111111
pflegen	0.941176471	2.666666667
Steak	1.4	2.65
Richter	-0.823529412	3.523809524
versetzen	-0.676470588	2.631578947
Wucht	-0.3	4.05
erfahren	1.235294118	2.714285714
ruhelos	-1.4	2.578947368
schatten	-0.352941176	2.444444444
Dose	-0.18	2.0
Säge	-1.09	2.95
Panda	1.45	2.64
berauben	-2.2	3.722222222
verfolgen	-1.735294118	3.7
Thema	0.15	2.222222222
Pointe	1.5	3.210526316
Festtag	2.0	2.75
naiv	-0.8	2.315789474
Kollaps	-1.9	4.222222222
Silbe	0.15	1.722222222
Aussicht	1.470588235	2.222222222
Abfahrt	0.3	3.117647059
Figur	0.35	2.526315789
Mirakel	0.6	2.761904762
Messer	-0.6	3.476190476
Benzin	-0.8	2.857142857
Forscher	1.088235294	2.666666667
Maibaum	0.8	2.142857143
Hocker	0.14	1.95
Manege	0.6	2.428571429
Arsenal	-0.9	2.285714286
Spuk	-0.8	2.842105263
Erzeuger	0.8	3.052631579
trotzig	-1.1	3.263157895
Miene	0.55	2.904761905
Vitamin	1.8	2.222222222
schmuck	1.3	2.555555556
Sippe	-0.5	2.444444444
Eiche	1.45	1.722222222
toll	2.0	3.055555556
Lieblos	-2.3	3.277777778
annehmen	0.735294118	2.380952381
Obhut	0.65	2.105263158
anerkennen	1.588235294	3.0
fördern	1.441176471	2.142857143
bezahlen	-0.529411765	2.535714286
Füller	0.73	2.32
überzeugen	0.5	2.952380952
Zorn	-1.8	4.117647059
Börse	-0.647058824	2.052631579
Becher	0.55	1.714285714
Vorteil	1.8	2.75
Mohr	0.4	2.333333333
Spionage	-1.6	3.444444444
Wirrnis	-1.6	3.444444444
fasching	0.0	2.777777778
Mohn	0.3	2.055555556
verletzt	-1.8	3.944444444
Mangel	-1.9	3.0625
Raupe	-0.15	2.157894737
Komfort	2.0	1.823529412
putzen	-1.4	2.210526316
Umsatz	0.088235294	2.722222222
Basis	0.35	1.722222222
Rakete	-0.6	3.466666667
Frist	-1.2	3.19047619
reichen	0.617647059	1.789473684
Boot	1.05	2.82
Revolver	-2.14	4.14
Satan	-2.2	4.25
Pegel	-0.45	2.5
Polizist	-0.3	3.588235294
Inferno	-1.8	4.277777778
Angler	-0.2	2.0
Ausblick	1.0	2.222222222
Erzeugnis	0.470588235	2.380952381
Stau	-1.6	3.333333333
Schiller	0.9	2.578947368
Meute	-1.25	3.444444444
Insekt	-0.45	3.0
redselig	-0.1	2.5
Abart	-1.6	3.277777778
vermögen	1.323529412	2.888888889
Mensch	1.6	2.722222222
Nachruf	-0.7	2.642857143
Charakter	1.264705882	3.421052632
abzugen	-0.5	2.9375
veilchen	1.0	2.0
Prognose	0.3	2.882352941
schlaff	-1.2	2.315789474
Verwesen	-2.2	3.105263158
Paprika	1.0	1.91
verteilen	1.029411765	1.947368421
Reglos	-1.2	2.157894737
warm	2.2	2.166666667
spezial	0.9	1.894736842
Delle	-0.9	2.333333333
Stube	0.8	1.894736842
Skelett	-0.3	3.333333333
Gekicher	0.0	3.111111111
paradies	2.8	2.294117647
Stiefel	0.77	2.23
locken	0.0	2.888888889
Gewitter	0.6	3.631578947
Abort	-0.9	2.380952381
Initiative	1.411764706	3.315789474
Wagnis	0.4	3.947368421
simpel	0.4	2.3
Annahme	0.235294118	2.3125
Lid	0.2	1.842105263
Marxist	-0.9	2.473684211
Sarg	-2.3	4.0
Schlager	-0.4	2.444444444
